"MatchList","Status","NPSTaxonCode","NPSTSN","SourceSci","SourceCom","ParkCode"
"Federal Endangered Species Act List","RT","100020","18886","Papaver alboroseum","Pale poppy","All"
"Federal Endangered Species Act List","RT","100061","19435","Quercus tomentella","Island oak","All"
"Federal Endangered Species Act List","RT","1001","110196","Pseudanophthalmus troglodytes","Louisville Cave beetle","All"
"Federal Endangered Species Act List","SU","1002791",NA,"Acanthastrea brevis","No common name","All"
"Federal Endangered Species Act List","T","1002923",NA,"Orbicella annularis","Lobed Star Coral","All"
"Federal Endangered Species Act List","T","1002924",NA,"Orbicella faveolata","Mountainous Star Coral","All"
"Federal Endangered Species Act List","SC","1002944",NA,"Antrostomus arizonae","Mexican Whip-poor-will",NA
"Federal Endangered Species Act List","SC","1002944",NA,"Antrostomus arizonae","Mexican Whip-poor-will","All"
"Federal Endangered Species Act List","RT","1003","110198","Pseudanophthalmus catorycetes","Lesser Adams Cave beetle","All"
"Federal Endangered Species Act List","T","1003000",NA,"Drepanis coccinea","`I`iwi","All"
"Federal Endangered Species Act List","T","1003003",NA,"Drepanis coccinea","`I`iwi","All"
"Federal Endangered Species Act List","SC","100316","186357","Pseudobroscus lentus","Haleakala pseudobroscus ground beetle","All"
"Federal Endangered Species Act List","SC","1004","110199","Pseudanophthalmus conditus","[Unnamed] cave beetle","All"
"Federal Endangered Species Act List","T","100416","19653","Mirabilis macfarlanei","MacFarlane's four-o'clock","All"
"Federal Endangered Species Act List","SC","100438","19655","Mirabilis nyctaginea","Sandhill four-o'clock","All"
"Federal Endangered Species Act List","RT","10051","102717","Capnia lineata","Straight snowfly","All"
"Federal Endangered Species Act List","E","1005161","997970","Hemignathus affinis","Maui nukupuu","All"
"Federal Endangered Species Act List","E","1005162","997971","Hemignathus hanapepe","Kauai nukupuu","All"
"Federal Endangered Species Act List","E","1005169","997966","Loxops ochraceus","Maui akepa","All"
"Federal Endangered Species Act List","SC","1005170","997967","Loxops wolstenholmei","No common name",NA
"Federal Endangered Species Act List","SC","1005170","997967","Loxops wolstenholmei","No common name","All"
"Federal Endangered Species Act List","SC","100518","195260","Opuntia basilaris brachyclada","Short-jointed beavertail cactus","All"
"Federal Endangered Species Act List","RT","100520","195262","Opuntia basilaris longiareolata","No common name","All"
"Federal Endangered Species Act List","RT","100522","195264","Opuntia basilaris woodburyi","No common name","All"
"Federal Endangered Species Act List","RT","100524","195266","Opuntia bigelovii hoffmannii","Hoffmann's cactus","All"
"Federal Endangered Species Act List","SC","1005250","997879","Akialoa lanaiensis","No common name",NA
"Federal Endangered Species Act List","SC","1005250","997879","Akialoa lanaiensis","No common name","All"
"Federal Endangered Species Act List","E","1005252","997881","Akialoa stejnegeri","Kauai akialoa (honeycreeper)","All"
"Federal Endangered Species Act List","SC","1005277","997858","Spinus spinus","Eurasian Siskin",NA
"Federal Endangered Species Act List","SC","1005277","997858","Spinus spinus","Eurasian Siskin","All"
"Federal Endangered Species Act List","SC","1005333","997794","Himatione fraithii","No common name",NA
"Federal Endangered Species Act List","SC","1005333","997794","Himatione fraithii","No common name","All"
"Federal Endangered Species Act List","SC","1005336","997797","Akialoa ellisiana","No common name",NA
"Federal Endangered Species Act List","SC","1005336","997797","Akialoa ellisiana","No common name","All"
"Federal Endangered Species Act List","SC","100539","19528","phytolacca sandwicensis","No comment name","All"
"Federal Endangered Species Act List","SC","1005406","997723","Artemisiospiza nevadensis","Sagebrush Sparrow",NA
"Federal Endangered Species Act List","SC","1005406","997723","Artemisiospiza nevadensis","Sagebrush Sparrow","All"
"Federal Endangered Species Act List","SC","1005407","997724","Artemisiospiza belli","No common name",NA
"Federal Endangered Species Act List","SC","1005407","997724","Artemisiospiza belli","Bells Sparrow","All"
"Federal Endangered Species Act List","SC","1005407","997724","Artemisiospiza belli","No common name","All"
"Federal Endangered Species Act List","SC","100542","195282","Opuntia imbricata argentea","Silver cholla","All"
"Federal Endangered Species Act List","SC","100551","195290","Opuntia parryi serpentina","Snake cholla","All"
"Federal Endangered Species Act List","RT","100572","195309","Opuntia aureispina","Golden-spined prickly-pear","All"
"Federal Endangered Species Act List","SC","1006097",NA,"Rallus obsoletus","No common name",NA
"Federal Endangered Species Act List","SC","1006097",NA,"Rallus obsoletus","No common name","All"
"Federal Endangered Species Act List","SC","1006098",NA,"Synthliboramphus scrippsi","Scripps's Murrelet",NA
"Federal Endangered Species Act List","SC","1006098",NA,"Synthliboramphus scrippsi","Scripps's Murrelet","All"
"Federal Endangered Species Act List","SC","100628","193144","Aster laevis guadalupensis","Guadalupe smooth aster","All"
"Federal Endangered Species Act List","SC","1006966",NA,"dicranoweisia crispula","Dicranoweisia moss","All"
"Federal Endangered Species Act List","RT","100706","19156","Urtica chamaedryoides","No common name","All"
"Federal Endangered Species Act List","RT","100784","19163","Hesperocnide sandwicensis","No common name","All"
"Federal Endangered Species Act List","RT","101081","19029","Fothergilla gardenii","Dwarf witch-alder","All"
"Federal Endangered Species Act List","RT","101149","19660","Mirabilis pudica","[Unnamed] four-o'clock","All"
"Federal Endangered Species Act List","SC","101182","19663","Mirabilis rotundifolia","Roundleaf four-o'clock","All"
"Federal Endangered Species Act List","RT","101307","18895","Papaver walpolei","Walpole poppy","All"
"Federal Endangered Species Act List","SC","101351","18899","Arctomecon californica","[Unnamed] desert-poppy","All"
"Federal Endangered Species Act List","UR","101351","18899","Arctomecon californica","Las Vegas bearpoppy",NA
"Federal Endangered Species Act List","E","101364","18900","Arctomecon humilis","Dwarf Bear-poppy","All"
"Federal Endangered Species Act List","SC","101378","195320","Opuntia engelmannii flexospina","Marble-seeded, few-spined prickly-pear","All"
"Federal Endangered Species Act List","RT","101389","195330","Opuntia martiniana","Seashore cactus","All"
"Federal Endangered Species Act List","E","101414","195353","Pediocactus peeblesianus var. peeblesianus","Peebles Navajo cactus","All"
"Federal Endangered Species Act List","E","101415","195354","Pediocactus peeblesianus fickeiseniae","Fickeisen plains cactus","All"
"Federal Endangered Species Act List","T","101417","195356","Pediocactus (=Echinocactus,=Utahia) sileri","Siler pincushion cactus","All"
"Federal Endangered Species Act List","T","101418","195357","Pediocactus (=Echinocactus,=Utahia) sileri","Siler pincushion cactus","All"
"Federal Endangered Species Act List","E","101423","195361","Pediocactus despainii","San Rafael cactus","All"
"Federal Endangered Species Act List","T","101427","195365","Echinocereus fendleri var. kuenzleri","Kuenzler hedgehog cactus","All"
"Federal Endangered Species Act List","E","101433","195370","Echinocereus reichenbachii var. albertii","Black lace cactus","All"
"Federal Endangered Species Act List","E","101435","195372","Echinocereus triglochidiatus var. arizonicus","Arizona hedgehog cactus","All"
"Federal Endangered Species Act List","DNS","101437","195374","Echinocereus triglochidiatus var. inermis","Spineless hedgehog Cactus",NA
"Federal Endangered Species Act List","DNS","101437","195374","Echinocereus triglochidiatus var. inermis","Spineless hedgehog Cactus","All"
"Federal Endangered Species Act List","E","101441","195378","Echinocereus viridiflorus var. davisii","Davis' green pitaya","All"
"Federal Endangered Species Act List","RT","101444","195380","Echinocereus viridiflorus correllii","Correll's green pitaya","All"
"Federal Endangered Species Act List","E","101449","195385","Echinocactus horizonthalonius var. nicholii","Nichol's Turk's head cactus","All"
"Federal Endangered Species Act List","T","101459","195394","Coryphantha sneedii var. leei","Lee pincushion cactus","All"
"Federal Endangered Species Act List","T","101463","195398","Echinomastus mariposensis","Lloyd's Mariposa cactus","All"
"Federal Endangered Species Act List","E","101467","195400","Harrisia (=Cereus) aboriginum (=gracilis)","Aboriginal Prickly-apple","All"
"Federal Endangered Species Act List","E","101474","195407","Cereus eriophorus var. fragrans","Fragrant prickly-apple","All"
"Federal Endangered Species Act List","E","101475","195408","Silene perlmanii","No common name","All"
"Federal Endangered Species Act List","E","101476","195409","Arenaria cumberlandensis","Cumberland sandwort","All"
"Federal Endangered Species Act List","T","101479","195411","Geocarpon minimum","No common name","All"
"Federal Endangered Species Act List","E","101492","195423","Eriogonum apricum (incl. var. prostratum)","Ione (incl. Irish Hill) buckwheat","All"
"Federal Endangered Species Act List","SC","101495","195426","Eriogonum breedlovei breedlovei","Piute buckwheat","All"
"Federal Endangered Species Act List","RT","101496","195427","Eriogonum breedlovei shevockii","The Needles buckwheat","All"
